title,line_text
Ulalume,"With love in her luminous eyes."""
Ulalume,"But Psyche, uplifting her finger,"
Ulalume,"Said—""Sadly this star I mistrust—"
Ulalume,Her pallor I strangely mistrust:—
Ulalume,"Oh, hasten!—oh, let us not linger!"
Ulalume,"Oh, fly!—let us fly!—for we must."""
Ulalume,"In terror she spoke, letting sink her"
Ulalume,Wings till they trailed in the dust—
Ulalume,"In agony sobbed, letting sink her"
Ulalume,Plumes till they trailed in the dust—
Ulalume,Till they sorrowfully trailed in the dust.
Ulalume,"I replied—""This is nothing but dreaming:"
Ulalume,Let us on by this tremulous light!
Ulalume,Let us bathe in this crystalline light!
Ulalume,Its Sibyllic splendor is beaming
Ulalume,With Hope and in Beauty to-night:—
Ulalume,See!—it flickers up the sky through the night!
Ulalume,"Ah, we safely may trust to its gleaming,"
Ulalume,And be sure it will lead us aright—
Ulalume,We safely may trust to a gleaming
Ulalume,"That cannot but guide us aright,"
Ulalume,"Since it flickers up to Heaven through the night."""
Ulalume,"Thus I pacified Psyche and kissed her,"
Ulalume,And tempted her out of her gloom—
Ulalume,And conquered her scruples and gloom;
Ulalume,"And we passed to the end of a vista,"
Ulalume,But were stopped by the door of a tomb—
Ulalume,By the door of a legended tomb;
Ulalume,"And I said—""What is written, sweet sister,"
Ulalume,"On the door of this legended tomb?"""
Ulalume,"She replied—""Ulalume—Ulalume—"
Ulalume,"'Tis the vault of thy lost Ulalume!"""
Ulalume,Then my heart it grew ashen and sober
Ulalume,As the leaves that were crisped and sere—
Ulalume,As the leaves that were withering and sere;
Ulalume,"And I cried—""It was surely October"
Ulalume,On this very night of last year
Ulalume,That I journeyed—I journeyed down here—
Ulalume,That I brought a dread burden down here!
Ulalume,"On this night of all nights in the year,"
Ulalume,"Ah, what demon has tempted me here?"
Ulalume,"Well I know, now, this dim lake of Auber—"
Ulalume,This misty mid region of Weir—
Ulalume,"Well I know, now, this dank tarn of Auber,—"
Ulalume,"This ghoul-haunted woodland of Weir."" 1847 Note Contents"
To Helen,I saw thee once—once only—years ago:
To Helen,I must not say how many—but not many.
To Helen,It was a July midnight; and from out
To Helen,"A full-orbed moon, that, like thine own soul, soaring,"
To Helen,"Sought a precipitate pathway up through heaven,"
To Helen,"There fell a silvery-silken veil of light,"
To Helen,"With quietude, and sultriness and slumber,"
To Helen,Upon the upturn'd faces of a thousand
To Helen,"Roses that grew in an enchanted garden,"
To Helen,"Where no wind dared to stir, unless on tiptoe—"
To Helen,Fell on the upturn'd faces of these roses
To Helen,"That gave out, in return for the love-light,"
To Helen,Their odorous souls in an ecstatic death—
To Helen,Fell on the upturn'd faces of these roses
To Helen,"That smiled and died in this parterre, enchanted"
To Helen,"By thee, and by the poetry of thy presence."
To Helen,"Clad all in white, upon a violet bank"
To Helen,I saw thee half-reclining; while the moon
To Helen,"Fell on the upturn'd faces of the roses,"
To Helen,"And on thine own, upturn'd—alas, in sorrow!"
To Helen,"Was it not Fate, that, on this July midnight—"
To Helen,"Was it not Fate (whose name is also Sorrow),"
To Helen,"That bade me pause before that garden-gate,"
To Helen,To breathe the incense of those slumbering roses?
To Helen,"No footstep stirred: the hated world all slept,"
To Helen,Save only thee and me—(O Heaven!—O God!
To Helen,How my heart beats in coupling those two words!)—
To Helen,Save only thee and me. I paused—I looked—
To Helen,And in an instant all things disappeared.
To Helen,"(Ah, bear in mind this garden was enchanted!)"
To Helen,The pearly lustre of the moon went out:
To Helen,"The mossy banks and the meandering paths,"
To Helen,"The happy flowers and the repining trees,"
To Helen,Were seen no more: the very roses' odors
To Helen,Died in the arms of the adoring airs.
To Helen,All—all expired save thee—save less than thou:
To Helen,Save only the divine light in thine eyes—
To Helen,Save but the soul in thine uplifted eyes.
To Helen,I saw but them—they were the world to me.
To Helen,I saw but them—saw only them for hours—
To Helen,Saw only them until the moon went down.
To Helen,What wild heart-histories seemed to lie unwritten
To Helen,"Upon those crystalline, celestial spheres!"
To Helen,How dark a woe! yet how sublime a hope!
To Helen,How silently serene a sea of pride!
To Helen,How daring an ambition! yet how deep—
To Helen,How fathomless a capacity for love!
To Helen,"But now, at length, dear Dian sank from sight,"
To Helen,Into a western couch of thunder-cloud;
To Helen,"And thou, a ghost, amid the entombing trees"
To Helen,Didst glide away. Only thine eyes remained. They would not go—they never yet have gone.
To Helen,"Lighting my lonely pathway home that night, They have not left me (as my hopes have) since."
To Helen,They follow me—they lead me through the years.
To Helen,They are my ministers—yet I their slave.
To Helen,Their office is to illumine and enkindle—
To Helen,"My duty, to be saved by their bright light,"
To Helen,"And purified in their electric fire,"
To Helen,And sanctified in their elysian fire.
To Helen,"They fill my soul with Beauty (which is Hope),"
To Helen,And are far up in Heaven—the stars I kneel to
To Helen,"In the sad, silent watches of my night;"
To Helen,While even in the meridian glare of day
To Helen,I see them still—two sweetly scintillant
To Helen,"Venuses, unextinguished by the sun! 1846 Note Contents"
Annabel Lee,"It was many and many a year ago,"
Annabel Lee,"In a kingdom by the sea,"
Annabel Lee,That a maiden there lived whom you may know
Annabel Lee,By the name of Annabel Lee ;
Annabel Lee,And this maiden she lived with no other thought
Annabel Lee,"Than to love and be loved by me. I was a child and she was a child,"
Annabel Lee,In this kingdom by the sea:
Annabel Lee,But we loved with a love that was more than love—
Annabel Lee,I and my Annabel Lee ;
Annabel Lee,With a love that the winged seraphs of heaven
Annabel Lee,Coveted her and me.
Annabel Lee,"And this was the reason that, long ago,"
Annabel Lee,"In this kingdom by the sea,"
Annabel Lee,"A wind blew out of a cloud, chilling"
Annabel Lee,My beautiful Annabel Lee ;
Annabel Lee,So that her highborn kinsmen came
Annabel Lee,"And bore her away from me,"
Annabel Lee,To shut her up in a sepulchre
Annabel Lee,In this kingdom by the sea.
Annabel Lee,"The angels, not half so happy in heaven,"
Annabel Lee,Went envying her and me—
Annabel Lee,"Yes!—that was the reason (as all men know,"
Annabel Lee,In this kingdom by the sea)
Annabel Lee,"That the wind came out of the cloud by night,"
Annabel Lee,Chilling and killing my Annabel Lee .
Annabel Lee,But our love it was stronger by far than the love
Annabel Lee,Of those who were older than we—
Annabel Lee,Of many far wiser than we—
Annabel Lee,"And neither the angels in heaven above,"
Annabel Lee,"Nor the demons down under the sea,"
Annabel Lee,Can ever dissever my soul from the soul
Annabel Lee,Of the beautiful Annabel Lee .
Annabel Lee,For the moon never beams without bringing me dreams
Annabel Lee,Of the beautiful Annabel Lee ;
Annabel Lee,And the stars never rise but I see the bright eyes
Annabel Lee,Of the beautiful Annabel Lee ;
Annabel Lee,"And so, all the night-tide, I lie down by the side"
Annabel Lee,"Of my darling, my darling, my life and my bride,"
Annabel Lee,In her sepulchre there by the sea—
Annabel Lee,In her tomb by the side of the sea. Note Contents
A Valentine,"For her this rhyme is penned, whose luminous eyes,"
A Valentine,"Brightly expressive as the twins of Leda,"
A Valentine,"Shall find her own sweet name, that, nestling lies"
A Valentine,"Upon the page, enwrapped from every reader."
A Valentine,Search narrowly the lines!—they hold a treasure
A Valentine,Divine—a talisman—an amulet
A Valentine,That must be worn at heart . Search well the measure—
A Valentine,The words—the syllables! Do not forget
A Valentine,"The trivialest point, or you may lose your labor!"
A Valentine,And yet there is in this no Gordian knot
A Valentine,"Which one might not undo without a sabre,"
A Valentine,If one could merely comprehend the plot.
A Valentine,Enwritten upon the leaf where now are peering
A Valentine,"Eyes scintillating soul, there lie perdus Three eloquent words oft uttered in the hearing"
A Valentine,"Of poets by poets—as the name is a poet's, too."
A Valentine,"Its letters, although naturally lying"
A Valentine,Like the knight Pinto—Mendez Ferdinando—
A Valentine,Still form a synonym for Truth—Cease trying!
A Valentine,"You will not read the riddle, though you do the best you can do. 1846 {To discover the names in this and the following poem, read the first"
A Valentine,letter of the first line in connection with the second letter of the
A Valentine,"second line, the third letter of the third line, the fourth, of the"
A Valentine,"fourth and so on, to the end.} Note Contents"
An Enigma,"""Seldom we find,"" says Solomon Don Dunce,"
An Enigma,"""Half an idea in the profoundest sonnet."
An Enigma,Through all the flimsy things we see at once
An Enigma,As easily as through a Naples bonnet—
An Enigma,Trash of all trash!—how can a lady don it?
An Enigma,Yet heavier far than your Petrarchan stuff—
An Enigma,Owl-downy nonsense that the faintest puff
An Enigma,"Twirls into trunk-paper the while you con it."""
An Enigma,"And, veritably, Sol is right enough."
An Enigma,The general tuckermanities are arrant
An Enigma,Bubbles—ephemeral and so transparent—
An Enigma,"But this is , now—you may depend upon it—"
An Enigma,"Stable, opaque, immortal—all by dint"
An Enigma,Of the dear names that lie concealed within't. {See comment after previous poem.} Note Contents
To My Mother,"Because I feel that, in the Heavens above,"
To My Mother,"The angels, whispering to one another,"
To My Mother,"Can find, among their burning terms of love,"
To My Mother,"None so devotional as that of ""Mother,"""
To My Mother,Therefore by that dear name I long have called you—
To My Mother,"You who are more than mother unto me,"
To My Mother,"And fill my heart of hearts, where Death installed you,"
To My Mother,In setting my Virginia's spirit free.
To My Mother,"My mother—my own mother, who died early,"
To My Mother,Was but the mother of myself; but you
To My Mother,"Are mother to the one I loved so dearly,"
To My Mother,And thus are dearer than the mother I knew
To My Mother,By that infinity with which my wife
To My Mother,"Was dearer to my soul than its soul-life. 1849 {The above was addressed to the poet's mother-in-law, Mrs. Clemm.—Ed.} Note Contents"
For Annie,Thank Heaven! the crisis—
For Annie,"The danger is past,"
For Annie,And the lingering illness
For Annie,Is over at last—
For Annie,"And the fever called ""Living"""
For Annie,Is conquered at last.
For Annie,"Sadly, I know,"
For Annie,"I am shorn of my strength,"
For Annie,And no muscle I move
For Annie,As I lie at full length—
For Annie,But no matter!—I feel
For Annie,I am better at length.
For Annie,"And I rest so composedly,"
For Annie,"Now in my bed,"
For Annie,That any beholder
For Annie,Might fancy me dead—
For Annie,Might start at beholding me
For Annie,Thinking me dead.
For Annie,"The moaning and groaning,"
For Annie,"The sighing and sobbing,"
For Annie,"Are quieted now,"
For Annie,With that horrible throbbing
For Annie,"At heart:—ah, that horrible,"
For Annie,Horrible throbbing!
For Annie,The sickness—the nausea—
For Annie,The pitiless pain—
For Annie,"Have ceased, with the fever"
For Annie,That maddened my brain—
For Annie,"With the fever called ""Living"""
For Annie,That burned in my brain.
For Annie,And oh! of all tortures That torture the worst
For Annie,Has abated—the terrible
For Annie,"Torture of thirst,"
For Annie,For the naphthaline river
For Annie,Of Passion accurst:—
For Annie,I have drank of a water
For Annie,That quenches all thirst:—
For Annie,"Of a water that flows,"
For Annie,"With a lullaby sound,"
For Annie,From a spring but a very few
For Annie,Feet under ground—
For Annie,From a cavern not very far
For Annie,Down under ground.
For Annie,And ah! let it never
For Annie,Be foolishly said
For Annie,That my room it is gloomy
For Annie,And narrow my bed—
For Annie,For man never slept
For Annie,In a different bed;
For Annie,"And, to sleep , you must slumber"
For Annie,In just such a bed.
For Annie,My tantalized spirit
For Annie,"Here blandly reposes,"
For Annie,"Forgetting, or never"
For Annie,Regretting its roses—
For Annie,Its old agitations
For Annie,Of myrtles and roses:
For Annie,"For now, while so quietly"
For Annie,"Lying, it fancies"
For Annie,A holier odor
For Annie,"About it, of pansies—"
For Annie,"A rosemary odor,"
For Annie,Commingled with pansies—
For Annie,With rue and the beautiful
For Annie,Puritan pansies.
For Annie,"And so it lies happily,"
For Annie,Bathing in many
For Annie,A dream of the truth
For Annie,And the beauty of Annie—
For Annie,Drowned in a bath
For Annie,Of the tresses of Annie.
For Annie,"She tenderly kissed me,"
For Annie,"She fondly caressed,"
For Annie,And then I fell gently
For Annie,To sleep on her breast—
For Annie,Deeply to sleep
For Annie,From the heaven of her breast.
For Annie,"When the light was extinguished,"
For Annie,"She covered me warm,"
For Annie,And she prayed to the angels
For Annie,To keep me from harm—
For Annie,To the queen of the angels
For Annie,To shield me from harm.
For Annie,"And I lie so composedly,"
For Annie,Now in my bed
For Annie,(Knowing her love)
For Annie,That you fancy me dead—
For Annie,"And I rest so contentedly,"
For Annie,"Now in my bed,"
For Annie,(With her love at my breast)
For Annie,That you fancy me dead—
For Annie,That you shudder to look at me.
For Annie,Thinking me dead.
For Annie,But my heart it is brighter
For Annie,Than all of the many
For Annie,"Stars in the sky,"
For Annie,For it sparkles with Annie—
For Annie,It glows with the light
For Annie,Of the love of my Annie—
For Annie,With the thought of the light
For Annie,Of the eyes of my Annie. 1849 Note Contents
To F——,Beloved! amid the earnest woes
To F——,That crowd around my earthly path—
To F——,"(Drear path, alas! where grows"
To F——,Not even one lonely rose)—
To F——,My soul at least a solace hath
To F——,"In dreams of thee, and therein knows"
To F——,An Eden of bland repose.
To F——,And thus thy memory is to me
To F——,Like some enchanted far-off isle
To F——,In some tumultuous sea—
To F——,Some ocean throbbing far and free
To F——,With storm—but where meanwhile
To F——,Serenest skies continually
To F——,Just o'er that one bright inland smile. 1845 Note Contents
To Frances S. Osgood,Thou wouldst be loved?—then let thy heart
To Frances S. Osgood,From its present pathway part not;
To Frances S. Osgood,"Being everything which now thou art,"
To Frances S. Osgood,Be nothing which thou art not.
To Frances S. Osgood,"So with the world thy gentle ways,"
To Frances S. Osgood,"Thy grace, thy more than beauty,"
To Frances S. Osgood,Shall be an endless theme of praise.
To Frances S. Osgood,And love a simple duty. 1845 Note Contents
Eldorado,"Gaily bedight,"
Eldorado,"A gallant knight,"
Eldorado,"In sunshine and in shadow,"
Eldorado,"Had journeyed long,"
Eldorado,"Singing a song,"
Eldorado,In search of Eldorado.
Eldorado,But he grew old—
Eldorado,This knight so bold—
Eldorado,And o'er his heart a shadow
Eldorado,Fell as he found
Eldorado,No spot of ground
Eldorado,That looked like Eldorado.
Eldorado,"And, as his strength"
Eldorado,"Failed him at length,"
Eldorado,He met a pilgrim shadow—
Eldorado,"""Shadow,"" said he,"
Eldorado,"""Where can it be—"
Eldorado,"This land of Eldorado?"""
Eldorado,"""Over the Mountains"
Eldorado,"Of the Moon,"
Eldorado,"Down the Valley of the Shadow,"
Eldorado,"Ride, boldly ride,"""
Eldorado,"The shade replied,"
Eldorado,"""If you seek for Eldorado!"" 1849 Note Contents"
Eulalie,I dwelt alone
Eulalie,"In a world of moan,"
Eulalie,"And my soul was a stagnant tide,"
Eulalie,Till the fair and gentle Eulalie became my blushing bride—
Eulalie,Till the yellow-haired young Eulalie became my smiling bride.
Eulalie,"Ah, less—less bright"
Eulalie,The stars of the night
Eulalie,Than the eyes of the radiant girl!
Eulalie,And never a flake
Eulalie,That the vapor can make
Eulalie,"With the moon-tints of purple and pearl,"
Eulalie,Can vie with the modest Eulalie's most unregarded curl—
Eulalie,Can compare with the bright-eyed Eulalie's most humble and careless curl.
Eulalie,Now Doubt—now Pain
Eulalie,"Come never again,"
Eulalie,"For her soul gives me sigh for sigh,"
Eulalie,And all day long
Eulalie,"Shines, bright and strong,"
Eulalie,"Astarté within the sky,"
Eulalie,While ever to her dear Eulalie upturns her matron eye—
Eulalie,While ever to her young Eulalie upturns her violet eye. 1845 Note Contents
A Dream within a Dream,Take this kiss upon the brow!
A Dream within a Dream,"And, in parting from you now,"
A Dream within a Dream,Thus much let me avow—
A Dream within a Dream,"You are not wrong, who deem"
A Dream within a Dream,That my days have been a dream:
A Dream within a Dream,Yet if hope has flown away
A Dream within a Dream,"In a night, or in a day,"
A Dream within a Dream,"In a vision or in none,"
A Dream within a Dream,Is it therefore the less gone ? All that we see or seem
A Dream within a Dream,Is but a dream within a dream.
A Dream within a Dream,I stand amid the roar
A Dream within a Dream,"Of a surf-tormented shore,"
A Dream within a Dream,And I hold within my hand
A Dream within a Dream,Grains of the golden sand—
A Dream within a Dream,How few! yet how they creep
A Dream within a Dream,Through my fingers to the deep
A Dream within a Dream,While I weep—while I weep!
